or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,sec_exhibit_count,sec_any_price,sec_any_patent_asset_sale,sec_best_doc_class,sec_best_cik,sec_best_accession,sec_best_document,sec_best_description,sec_best_sec_url,sec_best_transaction_type,sec_best_price_scope,sec_best_price_kind,sec_best_is_patent_asset_sale,sec_best_price_disclosed,sec_best_price_value,sec_best_currency,sec_best_price_raw,sec_best_price_sentence,sec_best_price_unit,sec_best_patent_sale_sentence,sec_best_notes,sec_best_cik_url,sec_best_acc_url,sec_best_cik_norm,sec_best_accession_norm,sec_best_match_rule,sec_best_sec_any_price,sec_best_sec_any_patent_asset_sale,sec_best_type_prio,sec_best_has_sentence,sec_best_sent_len
DAGEVILLE BENOIT,SNOWFLAKE COMPUTING INC,2015-03-09,32,nan,1640147,296,1640147,2014-12-09,2015-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMIANO EDWARD R,BETA BIONICS INC,2020-10-02,27,nan,1674632,297,1674632,2020-07-04,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMORE MASSIMO F,PEPSICO INC,2012-02-28,20,nan,77476,298,77476,2011-11-30,2012-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASGUPTA SUKRIT,CISCO TECHNOLOGY INC,2013-06-20,21,nan,1779474,299,1779474,2013-03-22,2013-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSON BENJAMIN R,HONDA MOTOR CO LTD,2006-12-18,20,nan,715153,300,715153,2006-09-19,2007-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAYTON PAUL,TREACE MEDICAL CONCEPTS INC,2016-09-17,24,nan,1630627,301,1630627,2016-06-19,2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE IULIIS DANIELE,APPLE COMPUTER INC,2005-10-18,21,nan,320193,302,320193,2005-07-20,2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE IULIIS DANIELE,APPLE INC,2007-12-13,20,nan,320193,303,320193,2007-09-14,2008-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE IULIIS DANIELE,APPLE INC,2014-12-08,20,nan,320193,304,320193,2014-09-09,2015-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE IULIIS DANIELE,APPLE INC,2015-01-26,39,nan,320193,305,320193,2014-10-28,2015-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE PEYSTER DAMON G,FORD GLOBAL TECHNOLOGIES LLC,2017-03-10,21,nan,932021,306,932021,2016-12-10,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE RUIJTER COR,TECHNOLOGIES HOLDINGS CORP,2012-04-12,42,nan,2186,307,2186,2012-01-13,2012-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2005-05-28,20,nan,110471,308,110471,2005-02-27,2005-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2006-08-07,43,nan,110471,309,110471,2006-05-09,2006-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2007-07-20,26,nan,110471,310,110471,2007-04-21,2007-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2008-01-28,25,nan,110471,311,110471,2007-10-30,2008-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECADE INDUSTRIES INC DBA SANUS SYSTEMS,CSAV INC,2006-05-23,20,72162,nan,312,72162,2006-02-22,2006-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELPHI TECHNOLOGIES INC,APTIV TECHNOLOGIES LIMITED,2018-01-01,20,1321834,nan,313,1321834,2017-10-03,2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELPHI TECHNOLOGIES INC,AUTOLIV DEVELOPMENT AB,2010-07-02,21,1321834,nan,314,1321834,2010-04-03,2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELPHI TECHNOLOGIES INC,GOOGLE INC,2011-06-24,37,1321834,nan,315,1321834,2011-03-26,2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMKIW JORDAN,FORD GLOBAL TECHNOLOGIES LLC,2018-09-26,29,nan,932021,316,932021,2018-06-28,2018-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMUTH JAMES A,SEURAT TECHNOLOGIES INC,2016-10-26,24,nan,1321834,317,1321834,2016-07-28,2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPEYSTER DAMON G,FORD GLOBAL TECHNOLOGIES LLC,2018-06-19,61,nan,932021,318,932021,2018-03-21,2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERGINS SCOTT,BROYHILL FURNITURE INDUSTRIES INC,2003-06-20,25,nan,72162,319,72162,2003-03-22,2003-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERGINS SCOTT,BROYHILL FURNITURE INDUSTRIES INC,2004-03-25,20,nan,72162,320,72162,2003-12-26,2004-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPANDE MILIND,ACHILLION PHARMACEUTICALS INC,2016-03-14,26,nan,1691082,321,1691082,2015-12-15,2016-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWITT DAVID,FORD GLOBAL TECHNOLOGIES LLC,2018-01-11,34,nan,932021,322,932021,2017-10-13,2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIEBEL MARKUS,APPLE INC,2020-07-01,20,nan,320193,323,320193,2020-04-02,2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIEBOLD R BRUCE,FORMA THERAPEUTICS INC,2016-06-17,20,nan,1001316,324,1001316,2016-03-19,2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIGITAL CONTROL INC,MERLIN TECHNOLOGY INC,2003-05-01,96,nan,1779474,325,1779474,2003-01-31,2003-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIGITAL CONTROL INCORPORATED,MERLIN TECHNOLOGY INC,2003-05-01,41,nan,1779474,326,1779474,2003-01-31,2003-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIN SHAHID,BAXTER INTERNATIONAL INC,2005-01-31,22,nan,10456,327,10456,2004-11-02,2005-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOBIE KENNETH W,ISIS PHARMACEUTICALS INC,2002-12-04,26,nan,874015,328,874015,2002-09-05,2003-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODSON JOHN S,INTERNATIONAL BUSINESS MACHINES CORPORATION,1997-04-14,21,nan,51143,329,51143,1997-01-14,1997-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODSON JOHN S,INTERNATIONAL BUSINESS MACHINES CORPORATION,1999-11-08,20,nan,51143,330,51143,1999-08-10,2000-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOERING JEFFREY ALLEN,FORD GLOBAL TECHNOLOGIES LLC,2013-02-05,24,nan,932021,331,932021,2012-11-07,2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLBY CANADA CORPORATION,DOLBY LABORATORIES LICENSING CORPORATION,2007-12-05,47,nan,1308547,332,1308547,2007-09-06,2008-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLBY INTERNATIONAL AB,DOLBY LABORATORIES LICENSING CORPORATION,2017-08-23,25,nan,1308547,333,1308547,2017-05-25,2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLBY LABORATORIES INC,DOLBY LABORATORIES LICENSING CORPORATION,2003-09-05,55,1308547,1308547,334,1308547,2003-06-07,2003-12-04,1.0,0.0,0.0,likely_m&a_or_asset,1308547.0,119312507243696.0,dex21.htm,SHARE TRANSFER AGREEMENT,https://www.sec.gov/Archives/edgar/data/1308547/000119312507243696/dex21.htm,financing,financing_securities,,0.0,0.0,,,,,per_security,"BANK NATIONAL ASSOCIATION, AS ESCROW AGENT Dated as of November 8, 2007 TABLE OF CONTENTS Page Article I DEFINITIONS 3 1.1 Certain Defined Terms 3 1.2 Interpretations 3 Article II THE ACQUISITION 4 2.1 Purchase and Sale 4 2.2 Purchase Price 4 2.3 The Closing 5 2.4 The Second Closing 5 2.5 Withholding Taxes and Tax Deposit Account 6 2.6 Purchase Price Adjustment and Post-Closing Procedures 6 2.7 Escrow Deposits & Payment Procedures 12 2.8 Additional Adjustments to Purchase Price 12 2.9 Company Convertible Debenture Holder Obligations 12 2.10 Warrant Exercises 13 2.11 SHA Sellers 13 Article III REPRESENTATIONS AND WARRANTIES OF THE SELLERS 14 3.1 Organization of the Company; Authority 14 3.2 Company Capital Structure 15 3.3 Subsidiaries 16 3.4 No Conflict 18 3.5 Consents 18 3.6 Company Finan","Price relates to securities/financing, not an asset/IP sale. [Dropped: financing]",1308547,000119312507243696,1308547,000119312507243696,cik+midpoint,0.0,0.0,9.0,0.0,0.0
DOMACK RANDY D,ASHLEY FURNITURE INDUSTRIES INC,2006-03-10,27,nan,72162,335,72162,2005-12-10,2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMKE MICHAEL CHRISTOPHER,GENERAL ELECTRIC COMPANY,2013-01-09,20,nan,40545,336,40545,2012-10-11,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONG XUE,BOE TECHNOLOGY GROUP CO LTD,2015-05-11,23,nan,1852440,337,1852440,2015-02-10,2015-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORANDISHYAZDI OMEAD,FORD GLOBAL TECHNOLOGIES LLC,2019-10-09,25,nan,932021,338,932021,2019-07-11,2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORNER CHARLES SHEARER,AMAZON TECHNOLOGIES INC,2014-08-14,26,nan,1321834,339,1321834,2014-05-16,2014-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORSEY JACK,SQUARE INC,2011-12-21,20,nan,1794776,340,1794776,2011-09-22,2012-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUGHTY FREDERIC C,BLACK DECKER INC,1995-09-19,22,nan,93556,341,93556,1995-06-21,1995-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOW GLOBAL TECHNOLOGIES INC,DOW GLOBAL TECHNOLOGIES LLC,2010-12-31,20,1751788,932021,342,1751788,2010-10-02,2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOW GLOBAL TECHNOLOGIES LLC,BLUE CUBE IP LLC,2015-09-30,21,932021,nan,343,932021,2015-07-02,2015-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOW GLOBAL TECHNOLOGIES LLC,THE DOW CHEMICAL COMPANY,2018-11-01,71,932021,nan,344,932021,2018-08-03,2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOW PHARMACEUTICAL SCIENCES INC,BAUSCH HEALTH IRELAND LIMITED,2018-12-03,38,1751788,nan,345,1751788,2018-09-04,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPAC TECHNOLOGIES CORP FORMERLY KNOWN AS DENSEPAC MICROSYSTEMS INC,STAKTEK GROUP LP,2004-06-09,25,2186,nan,346,2186,2004-03-11,2004-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAEGER RIAN,DEXCOM INC,2015-01-21,20,nan,1093557,347,1093557,2014-10-23,2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUA BHUPESH,NIKE INC,2004-07-21,21,nan,320187,348,320187,2004-04-22,2004-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNN WILLIAM,MANUFACTURING RESOURCES INTERNATIONAL INC,2015-07-16,23,nan,105319,349,105319,2015-04-17,2015-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNN WILLIAM,MANUFACTURING RESOURCES INTERNATIONAL INC,2016-08-31,35,nan,105319,350,105319,2016-06-02,2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURFLINGER NATE,NIKE INC,2020-08-12,20,nan,320187,351,320187,2020-05-14,2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE ALAN C,APPLE INC,2015-01-30,33,nan,320193,352,320193,2014-11-01,2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYLLA SCOTT J,STEM CENTRX INC,2013-02-22,32,nan,1758766,353,1758766,2012-11-24,2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBAY INC,PAYPAL INC,2015-07-17,637,1065088,1633917,354,1065088,2015-04-18,2015-10-15,1.0,0.0,0.0,likely_m&a_or_asset,1065088.0,119312515240245.0,d944939dex21.htm,EX-2.1,https://www.sec.gov/Archives/edgar/data/1065088/000119312515240245/d944939dex21.htm,financing,financing_securities,,0.0,0.0,,,,,,"DATED AS OF JUNE 26, 2015 TABLE OF CONTENTS Page ARTICLE I DEFINITIONS 2 ARTICLE II THE SEPARATION 16 2.1 Transfer of Assets and Assumption of Liabilities 16 2.2 PayPal Assets; eBay Assets 18 2.3 PayPal Liabilities; eBay Liabilities 21 2.4 Approvals and Notifications 23 2.5 Novation of Liabilities 26 2.6 Release of Guarantees 27 2.7 Termination of Agreements 28 2.8 Treatment of Shared Contracts 29 2.9 Bank Accounts; Cash Balances 30 2.10 Ancillary Agreements 31 2.11 Disclaimer of Representations and Warranties 31 2.12 Cash Transfer 32 2.13 Financial Information Certifications 32 2.14 Transition Committee 32 ARTICLE III THE DISTRIBUTION 33 3.1 Sole and Absolute Discretion; Cooperation 33 3.2 Actions Prior to the Distribution 33 3.3 Conditions to the Distribution 34 3.4 The Distribution 36 A",No explicit consideration sentence found in text. [Dropped: financing],1065088,000119312515240245,1065088,000119312515240245,cik+midpoint,0.0,0.0,9.0,0.0,0.0
ECASH TECHNOLOGIES INC,INFOSPACE INC,2002-02-07,22,1321834,nan,355,1321834,2001-11-09,2002-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOLAB INC,ECOLAB USA INC,2009-01-01,349,31462,31462,356,31462,2008-10-03,2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOLAB USA INC,CHAMPIONX USA INC,2020-08-25,63,31462,nan,357,31462,2020-05-27,2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDWARDS JAMES P,LIGAND PHARMACEUTICALS INC,2000-09-22,36,nan,886163,358,886163,2000-06-24,2000-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDWARDS WEBB,GANART TECHNOLOGIES INC,2010-01-13,21,nan,1321834,359,1321834,2009-10-15,2010-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SAYYID WALEED MUTASEM,BAXTER INTERNATIONAL INC,2005-02-04,26,nan,10456,360,10456,2004-11-06,2005-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELAN PHARMACEUTICALS INC,NEURALAB LIMITED,2000-04-20,33,1023024,nan,361,1023024,2000-01-21,2000-07-19,1.0,1.0,1.0,likely_m&a_or_asset,1023024.0,110465909040858.0,a09-17295_1ex2d1.htm,EX-2.1,https://www.sec.gov/Archives/edgar/data/1023024/000110465909040858/a09-17295_1ex2d1.htm,merger_equity,entire_firm,per_share_consideration,1.0,1.0,0.001,USD,$0.001,"(b) The Company agrees that: (i) if BioSante shall terminate this Agreement pursuant to Section 9.01(c)(ii) or Section 9.01(c)(iii) and within twelve months after the date of such termination the Company enters into a definitive acquisition agreement (other than a confidentiality agreement) with respect to (and subsequently consummates), or consummates a transaction contemplated by, an Acquisition Proposal (changing the 20% amount referred to in the definition of “Acquisition Proposal” to 50% for purposes of this Section 9.03(b(i) ); or (ii) if the Company shall terminate this Agreement pursuant to Section 9.01(d)(ii) ; or (iii) if (A)(x) BioSante or the Company shall terminate this Agreement pursuant to Section 9.01(b)(i) , and (y) the failure of the Effective Time to occur on or prior to",per_share,"Notwithstanding the foregoing, the amounts in clause (y) above shall exclude in each case all accrued expenses, contractual commitments, restructuring accruals, and fees and expenses, as applicable, to the extent related to (A) the Company’s 2010 annual stockholders meeting, (B) the audit of the Company’s financial statements for the year ended December 31, 2009, (C) the preparation of 2009 Tax Returns, (D) an audit of the Company’s terminated 401(k) plan for the year ended December 31, 2009, (E) the preparation of any Quarterly Report on Form 10-Q due after the Closing Date, including any quarterly review by external accountants, (F) license agreements related to Company Licensed Intellectual Property, including the cancellation thereof or any royalties payable thereunder, to the extent t",Price relates to merger/equity consideration; IP is bundled.,1023024,000110465909040858,1023024,000110465909040858,cik+midpoint,1.0,1.0,3.0,1.0,800.0
ELAN PHARMACEUTICALS INC,NEURALAB LIMITED,2000-10-02,21,1023024,nan,362,1023024,2000-07-04,2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELDEM CAN,NIKE INC,2019-06-27,20,nan,320187,363,320187,2019-03-29,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELKHATIB FIRAS H,BETA BIONICS INC,2020-09-27,25,nan,1674632,364,1674632,2020-06-29,2020-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLIPSE TECHNOLOGIES INC,NUVASIVE INC,2016-01-04,66,1321834,nan,365,1321834,2015-10-06,2016-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERSON ELECTRIC CO,NIDEC MOTOR CORPORATION,2010-09-24,34,32604,nan,366,32604,2010-06-26,2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMANUEL JOSEPH AMALAN ARUL,NETGEAR INC,2018-12-18,24,nan,1122904,367,1122904,2018-09-19,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPHASYS MEDICAL INC,PULMONX,2009-03-31,44,nan,1127537,368,1127537,2008-12-31,2009-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDEAVORS TECHNOLOGIES INC,NUMECENT HOLDINGS INC,2012-10-22,22,1321834,nan,369,1321834,2012-07-24,2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEGRIS CAYMEN LTD,ENTEGRIS INC,2004-02-18,25,nan,1101302,370,1101302,2003-11-20,2004-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERICSSON ANNA,FORMA THERAPEUTICS INC,2016-06-17,20,nan,1001316,371,1001316,2016-03-19,2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNESAKS ANITA,CANADIAN NATIONAL RAILWAY COMPANY,2002-07-17,21,nan,16868,372,16868,2002-04-18,2002-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERWIN RONALD D,ERWIN INDUSTRIES INC,2001-09-17,21,nan,72162,373,72162,2001-06-19,2001-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSENTIAL INC,SIEMENS HEALTHCARE DIAGNOSTICS INC,2016-09-27,20,78128,nan,374,78128,2016-06-29,2016-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETEC SYSTEMS INC,APPLIED MATERIALS INC,2001-06-15,30,nan,6951,375,6951,2001-03-17,2001-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUBANK LANE A,NATERA INC,2015-04-20,32,nan,1604821,376,1604821,2015-01-20,2015-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERETT CHARLES STUART,EASTMAN CHEMICAL COMPANY,2019-09-19,33,nan,915389,377,915389,2019-06-21,2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVERSON TERRY A,ASHLEY FURNITURE INDUSTRIES INC,2006-03-10,31,nan,72162,378,72162,2005-12-10,2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRYX TECHNOLOGIES INC,EVRYX ACQUISITION LLC,2011-02-23,117,1321834,nan,379,1321834,2010-11-25,2011-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCELSIUS SURGICAL LLC,GLOBUS MEDICAL INC,2013-12-23,30,nan,1237831,380,1237831,2013-09-24,2014-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYEVERIFY INC,ALIBABA GROUP HOLDING LIMITED,2020-01-09,42,nan,1577552,381,1577552,2019-10-11,2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRIZIUS MARTIN A,PIONEER HIBRED INTERNATIONAL INC,2010-04-20,23,nan,105319,382,105319,2010-01-20,2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRIZIUS MARTIN A,PIONEER HIBRED INTERNATIONAL INC,2011-02-25,21,nan,105319,383,105319,2010-11-27,2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRIZIUS MARTIN A,PIONEER HIBRED INTERNATIONAL INC,2012-02-08,26,nan,105319,384,105319,2011-11-10,2012-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARIS MARY,AGENSYS INC,2002-05-06,50,nan,924383,385,924383,2002-02-05,2002-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEES HEINER,SEURAT TECHNOLOGIES INC,2016-10-26,22,nan,1321834,386,1321834,2016-07-28,2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FELDMANN KENNETH,CERES INC,2006-05-03,23,nan,14707,387,14707,2006-02-02,2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIELDS SETH W,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-07,20,nan,4962,388,4962,2004-04-08,2004-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFE KEITH G,BUTTERFLY NETWORK INC,2014-03-25,24,nan,1804176,389,1804176,2013-12-25,2014-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINGERWORKS INC,APPLE INC,2007-08-31,32,nan,320193,390,320193,2007-06-02,2007-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISHER CHRISTOPHER EUGENE,AEROVIRONMENT INC,2016-03-31,24,nan,1368622,391,1368622,2016-01-01,2016-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEX LTD,THE SOLARIA CORPORATION,2019-09-18,48,866374,nan,392,866374,2019-06-20,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLITSCH FREDERICK A,JOHNSON JOHNSON VISION CARE INC,2013-04-18,24,nan,200406,393,200406,2013-01-18,2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMC CORPORATION,FMC TECHNOLOGIES INC,2001-11-26,20,nan,1321834,394,1321834,2001-08-28,2002-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOGEL KEITH E,INTERNATIONAL BUSINESS MACHINES CORPORATION,1993-05-03,38,nan,51143,395,51143,1993-02-02,1993-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOORD ORIT,STEM CENTRX INC,2013-02-22,32,nan,1758766,396,1758766,2012-11-24,2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD MOTOR COMPANY,FORD GLOBAL TECHNOLOGIES LLC,2004-08-11,22,nan,932021,397,932021,2004-05-13,2004-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD MOTOR COMPANY,FORD GLOBAL TECHNOLOGIES LLC,2006-02-08,20,nan,932021,398,932021,2005-11-10,2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD MOTOR COMPANY,FORD GLOBAL TECHNOLOGIES LLC,2006-04-03,20,nan,932021,399,932021,2006-01-03,2006-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER MICHAEL,ALLISON TRANSMISSION INC,2015-04-17,23,nan,1411207,400,1411207,2015-01-17,2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOXCONN INTERNATIONAL INC,HON HAI PRECISION INDUSTRY CO LTD,1995-10-12,35,105319,nan,401,105319,1995-07-14,1996-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREELINC TECHNOLOGIES INC,FREELINC HOLDINGS LLC,2019-07-31,23,1321834,nan,402,1321834,2019-05-02,2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREESCALE SEMICONDUCTOR INC,APPLE INC,2011-04-11,22,nan,320193,403,320193,2011-01-11,2011-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRENRY COMPANY INC THE,FLORIDA POOL PRODUCTS INC A CORP OF FL,1990-11-29,27,nan,945841,404,945841,1990-08-31,1991-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROLIKOV ALEX,MICRON TECHNOLOGY INC,2018-04-30,37,nan,723125,405,723125,2018-01-30,2018-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTUREWEI TECHNOLOGIES INC,HUAWEI TECHNOLOGIES CO LTD,2009-01-01,21,1321834,nan,406,1321834,2008-10-03,2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTUREWEI TECHNOLOGIES INC,HUAWEI TECHNOLOGIES CO LTD,2019-04-20,51,1321834,nan,407,1321834,2019-01-20,2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTUREWEI TECHNOLOGIES INC,HUAWEI TECHNOLOGIES CO LTD,2021-11-02,25,1321834,nan,408,1321834,2021-08-04,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADHACHANDA VENKAT RAO,ACHILLION PHARMACEUTICALS INC,2016-03-11,25,nan,1691082,409,1691082,2015-12-12,2016-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAINEY CHARLES W JR,INTERNATIONAL BUSINESS MACHINES CORPORATION,1970-02-02,22,nan,51143,410,51143,1969-11-04,1970-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHAM SHASHIDHAR,CISCO TECHNOLOGY INC,2016-07-11,29,nan,1779474,411,1779474,2016-04-12,2016-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANT THOMAS G,AUSPEX PHARMACEUTICALS INC,2010-01-07,41,nan,1691082,412,1691082,2009-10-09,2010-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANTZ JEREMY,NIKE INC,2018-10-18,23,nan,320187,413,320187,2018-07-20,2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAO JIAN,BOE TECHNOLOGY GROUP CO LTD,2017-04-27,21,nan,1852440,414,1852440,2017-01-27,2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARCIA GUSTAVO MARCELO,PIONEER HIBRED INTERNATIONAL INC,2011-02-03,20,nan,105319,415,105319,2010-11-05,2011-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
