or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,any_sec_exhibit,any_sec_price,any_patent_asset_sale
CALDWELL ANDREW,CADENCE DESIGN SYSTEMS INC,2003-05-08,24,nan,813672,186,813672,2003-02-07,2003-08-06,0,0,0
CALYPSO MEDICAL TECHNOLOGIES INC,VARIAN MEDICAL SYSTEMS INC,2011-11-15,44,1321834,nan,187,1321834,2011-08-17,2012-02-13,0,0,0
CAMPBELL ANNMARIE,FORMA THERAPEUTICS INC,2016-06-15,20,nan,1001316,188,1001316,2016-03-17,2016-09-13,0,0,0
CAMPI JOHN B JR,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-17,21,nan,51143,189,51143,2014-08-19,2015-02-15,0,0,0
CANAVOR DARREN ERNEST,AMAZON TECHNOLOGIES INC,2015-03-16,20,nan,1321834,190,1321834,2014-12-16,2015-06-14,0,0,0
CAO DENSEN,CAO GROUP INC,2002-07-02,26,nan,1419559,191,1419559,2002-04-03,2002-09-30,0,0,0
CAO DENSEN,CAO GROUP INC,2015-05-29,23,nan,1419559,192,1419559,2015-02-28,2015-08-27,0,0,0
CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE SERVICES LLC,2014-11-18,458,1725033,nan,193,1725033,2014-08-20,2015-02-16,0,0,0
CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE SERVICES LLC,2017-12-31,237,1725033,nan,194,1725033,2017-10-02,2018-03-31,0,0,0
CAPSTONE SURGICAL TECHNOLOGIES LLC,GLOBUS MEDICAL INC,2021-11-04,33,nan,1237831,195,1237831,2021-08-06,2022-02-02,0,0,0
CARAVELLA JUSTIN ANDREW,FORMA THERAPEUTICS INC,2016-06-17,20,nan,1001316,196,1001316,2016-03-19,2016-09-15,0,0,0
CARBIS DEAN,FORD GLOBAL TECHNOLOGIES LLC,2015-11-15,25,nan,932021,197,932021,2015-08-17,2016-02-13,0,0,0
CARBIS DEAN,FORD GLOBAL TECHNOLOGIES LLC,2016-11-01,21,nan,932021,198,932021,2016-08-03,2017-01-30,0,0,0
CARBIS DEAN,FORD GLOBAL TECHNOLOGIES LLC,2018-01-10,28,nan,932021,199,932021,2017-10-12,2018-04-10,0,0,0
CARDANI JASON,NIKE INC,2015-06-25,44,nan,320187,200,320187,2015-03-27,2015-09-23,0,0,0
CAREY JAMES E,INTERNATIONAL BUSINESS MACHINES CORPORATION,1984-05-21,23,nan,51143,201,51143,1984-02-21,1984-08-19,0,0,0
CARLONE MARIO ROSARIO JR,PIONEER HIBRED INTERNATIONAL INC,2011-02-25,25,nan,105319,202,105319,2010-11-27,2011-05-26,0,0,0
CARLONE MARIO ROSARIO JR,PIONEER HIBRED INTERNATIONAL INC,2012-02-01,35,nan,105319,203,105319,2011-11-03,2012-05-01,0,0,0
CARRBRENDEL VICTORIA,DEXCOM INC,2004-01-12,50,nan,1093557,204,1093557,2003-10-14,2004-04-11,0,0,0
CARRBRENDEL VICTORIA,DEXCOM INC,2005-03-21,29,nan,1093557,205,1093557,2004-12-21,2005-06-19,0,0,0
CARRIGAN LORI LISA,PIONEER HIBRED INTERNATIONAL INC,2012-02-01,20,nan,105319,206,105319,2011-11-03,2012-05-01,0,0,0
CASEBIA THERAPEUTICS LIMITED LIABILITY PARTNERSHIP,CRISPR THERAPEUTICS AG,2020-01-16,20,nan,1674416,207,1674416,2019-10-18,2020-04-15,0,0,0
CASELLA WASTE SYSTEMS INC,FCR LLC,2011-01-25,21,911177,nan,208,911177,2010-10-27,2011-04-25,1,1,1
CASWELL JOHN C,FORD GLOBAL TECHNOLOGIES LLC,2018-04-03,21,nan,932021,209,932021,2018-01-03,2018-07-02,0,0,0
CATERPILLAR TRACTOR CO A CORP OF CA,CATERPILLAR INC A CORP OF DE,1986-04-28,35,nan,18230,210,18230,1986-01-28,1986-07-27,0,0,0
CHALLITAEID PIA M,AGENSYS INC,2002-05-06,52,nan,924383,211,924383,2002-02-05,2002-08-04,0,0,0
CHANDRARATNA ROSHANTHA A,IO THERAPEUTICS INC,2017-04-26,27,nan,1840233,212,1840233,2017-01-26,2017-07-25,0,0,0
CHANG GREGORY P,DRAGONFLY THERAPEUTICS INC,2019-09-30,30,nan,1001316,213,1001316,2019-07-02,2019-12-29,0,0,0
CHANG LEO S,NIKE INC,2015-08-24,21,nan,320187,214,320187,2015-05-26,2015-11-22,0,0,0
CHANG LEO S,NIKE INC,2016-06-26,22,nan,320187,215,320187,2016-03-28,2016-09-24,0,0,0
CHAO POWEI,REALTEK SEMICONDUCTOR CORP,2006-12-26,24,nan,1097864,216,1097864,2006-09-27,2007-03-26,0,0,0
CHARVAT GREGORY L,HYPERFINE RESEARCH INC,2015-10-27,21,nan,1833769,217,1833769,2015-07-29,2016-01-25,0,0,0
CHASE MANHATTAN BANK USA NA,JPMORGAN CHASE BANK NA,2006-08-02,47,nan,19617,218,19617,2006-05-04,2006-10-31,0,0,0
CHAUDHRI IMRAN,APPLE INC,2014-01-24,30,nan,320193,219,320193,2013-10-26,2014-04-24,0,0,0
CHAUDHRI IMRAN,APPLE INC,2015-02-20,23,nan,320193,220,320193,2014-11-22,2015-05-21,0,0,0
CHEE EUNYOUNG,LG ELECTRONICS INC,2017-03-10,32,nan,2058873,221,2058873,2016-12-10,2017-06-08,0,0,0
CHEE EUNYOUNG,LG ELECTRONICS INC,2019-08-19,21,nan,2058873,222,2058873,2019-05-21,2019-11-17,0,0,0
CHEN DAWEI,ACHILLION PHARMACEUTICALS INC,2016-03-11,26,nan,1691082,223,1691082,2015-12-12,2016-06-09,0,0,0
CHEN TIANSHI,SHANGHAI CAMBRICON INFORMATION TECHNOLOGY CO LTD,2019-09-20,24,nan,2085372,224,2085372,2019-06-22,2019-12-19,0,0,0
CHEN XIAOCHUAN,BOE TECHNOLOGY GROUP CO LTD,2016-05-31,24,nan,1852440,225,1852440,2016-03-02,2016-08-29,0,0,0
CHEN XIAOCHUAN,BOE TECHNOLOGY GROUP CO LTD,2017-04-27,26,nan,1852440,226,1852440,2017-01-27,2017-07-26,0,0,0
CHEN ZHONGWEI,HERMES MICROVISION INC,2016-12-21,26,nan,65770,227,65770,2016-09-22,2017-03-21,0,0,0
CHENG KANGGUO,INTERNATIONAL BUSINESS MACHINES CORPORATION,2015-03-21,22,nan,51143,228,51143,2014-12-21,2015-06-19,0,0,0
CHENG KANGGUO,INTERNATIONAL BUSINESS MACHINES CORPORATION,2016-06-24,20,nan,51143,229,51143,2016-03-26,2016-09-22,0,0,0
CHENNUPATI VIJAYA S,JOHNSON CONTROLS TECHNOLOGY COMPANY,2018-09-25,23,nan,200406,230,200406,2018-06-27,2018-12-24,0,0,0
CHEUNG ANN F,DRAGONFLY THERAPEUTICS INC,2019-09-18,30,nan,1001316,231,1001316,2019-06-20,2019-12-17,0,0,0
CHEUNG YUNWA W,DOW GLOBAL TECHNOLOGIES INC,2006-03-10,23,nan,1751788,232,1751788,2005-12-10,2006-06-08,0,0,0
CHHABRA BHUMIKA,MICRON TECHNOLOGY INC,2021-02-16,20,nan,723125,233,723125,2020-11-18,2021-05-17,0,0,0
CHIANG KYLE P,ATYR PHARMA INC,2013-07-11,36,nan,1339970,234,1339970,2013-04-12,2013-10-09,0,0,0
CHILDERS ROBERT W,BAXTER INTERNATIONAL INC,2005-01-25,28,nan,10456,235,10456,2004-10-27,2005-04-25,0,0,0
CHILDERS ROBERT W,BAXTER INTERNATIONAL INC,2008-07-17,24,nan,10456,236,10456,2008-04-18,2008-10-15,0,0,0
CHO HYEON CHEOL,LG ELECTRONICS INC,2008-12-29,25,nan,2058873,237,2058873,2008-09-30,2009-03-29,0,0,0
CHO KANGEUI,LG ELECTRONICS INC,2020-01-08,24,nan,2058873,238,2058873,2019-10-10,2020-04-07,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2001-08-08,24,nan,2058873,239,2058873,2001-05-10,2001-11-06,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2006-09-29,22,nan,2058873,240,2058873,2006-07-01,2006-12-28,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2007-05-07,24,nan,2058873,241,2058873,2007-02-06,2007-08-05,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2007-07-04,36,nan,2058873,242,2058873,2007-04-05,2007-10-02,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2007-07-26,31,nan,2058873,243,2058873,2007-04-27,2007-10-24,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2008-03-04,23,nan,2058873,244,2058873,2007-12-05,2008-06-02,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2008-08-27,50,nan,2058873,245,2058873,2008-05-29,2008-11-25,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2008-10-13,68,nan,2058873,246,2058873,2008-07-15,2009-01-11,0,0,0
CHOI IN HWAN,LG ELECTRONICS INC,2008-11-19,28,nan,2058873,247,2058873,2008-08-21,2009-02-17,0,0,0
CHOI JANGWON,LG ELECTRONICS INC,2021-12-27,23,nan,2058873,248,2058873,2021-09-28,2022-03-27,0,0,0
CHOI JUNGAH,LG ELECTRONICS INC,2021-12-27,21,nan,2058873,249,2058873,2021-09-28,2022-03-27,0,0,0
CHOI KYUKWAN,LG ELECTRONICS INC,2020-12-21,24,nan,2058873,250,2058873,2020-09-22,2021-03-21,0,0,0
CHRISTENSEN CARLA L,MICRON TECHNOLOGY INC,2021-03-15,22,nan,723125,251,723125,2020-12-15,2021-06-13,0,0,0
CHUMSAE CHRISTOPHER,ABBVIE INC,2014-09-03,21,nan,1551152,252,1551152,2014-06-05,2014-12-02,0,0,0
CHUN SUNGDUCK,LG ELECTRONICS INC,2009-07-28,24,nan,2058873,253,2058873,2009-04-29,2009-10-26,0,0,0
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD,CIRRUS LOGIC INC,2015-03-29,60,1940941,772406,254,1940941,2014-12-29,2015-06-27,0,0,0
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD,CIRRUS LOGIC INC,2015-04-07,728,1940941,772406,255,1940941,2015-01-07,2015-07-06,0,0,0
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD,CIRRUS LOGIC INC,2017-06-05,42,1940941,772406,256,1940941,2017-03-07,2017-09-03,0,0,0
CLARK THOMAS R,MOHAWK INDUSTRIES INC,2012-12-24,22,nan,851968,257,851968,2012-09-25,2013-03-24,0,0,0
CLEARWATER NETWORKS INC,MIPS TECHNOLOGIES INC,2002-12-17,26,nan,1321834,258,1321834,2002-09-18,2003-03-17,0,0,0
CLEVERSAFE INC,INTERNATIONAL BUSINESS MACHINES CORPORATION,2015-11-06,73,nan,51143,259,51143,2015-08-08,2016-02-04,0,0,0
CLEVERSAFE INC,INTERNATIONAL BUSINESS MACHINES CORPORATION,2016-04-05,52,nan,51143,260,51143,2016-01-06,2016-07-04,0,0,0
CLOUTIER BRUCE S,DYNAMICS INC,2008-12-18,37,nan,1022671,261,1022671,2008-09-19,2009-03-18,0,0,0
CODD DANIEL SHAWN,DEXCOM INC,2005-03-08,21,nan,1093557,262,1093557,2004-12-08,2005-06-06,0,0,0
COMPX INTERNATIONAL INC,WATERLOO FURNITURE COMPONENTS LIMITED,2011-03-24,22,1049606,nan,263,1049606,2010-12-24,2011-06-22,0,0,0
CONEXANT SYSTEMS INC,MINDSPEED TECHNOLOGIES INC,2003-06-27,33,nan,1321834,264,1321834,2003-03-29,2003-09-25,0,0,0
CONEXANT SYSTEMS INC,SIRF TECHNOLOGY HOLDINGS INC,2001-09-21,25,nan,1779474,265,1779474,2001-06-23,2001-12-20,0,0,0
CONNELL GARY WAYNE,EASTMAN CHEMICAL COMPANY,2006-03-24,43,nan,915389,266,915389,2005-12-24,2006-06-22,0,0,0
CONOCOPHILLIPS COMPANY,CHINA PETROLEUM CHEMICAL CORPORATION,2007-07-31,23,1163165,1123658,267,1163165,2007-05-02,2007-10-29,0,0,0
CONSERT INC,LANDISGYR TECHNOLOGY INC,2017-03-10,21,nan,1779474,268,1779474,2016-12-10,2017-06-08,0,0,0
CONSTANTIN TUDOR POMPILIU,NATERA INC,2015-04-20,32,nan,1604821,269,1604821,2015-01-20,2015-07-19,0,0,0
CONVATEC INC,CONVATEC TECHNOLOGIES INC,2008-10-28,30,nan,1321834,270,1321834,2008-07-30,2009-01-26,0,0,0
CONVIDA WIRELESS LLC,INTERDIGITAL PATENT HOLDINGS INC,2022-04-09,79,nan,1405495,271,1405495,2022-01-09,2022-07-08,0,0,0
COOKE EVAN,TWILIO INC,2012-10-03,23,nan,1447669,272,1447669,2012-07-05,2013-01-01,0,0,0
COOPER THOMAS G,INTUITIVE SURGICAL INC,2007-11-14,25,nan,1035267,273,1035267,2007-08-16,2008-02-12,0,0,0
CORBIN THOMAS C,PIONEER HIBRED INTERNATIONAL INC,2010-04-23,21,nan,105319,274,105319,2010-01-23,2010-07-22,0,0,0
CORBIN THOMAS C,PIONEER HIBRED INTERNATIONAL INC,2013-02-06,20,nan,105319,275,105319,2012-11-08,2013-05-07,0,0,0
CORNING PHOTONIC TECHNOLOGIES INC,AVANEX CORPORATION,2003-07-31,140,1321834,nan,276,1321834,2003-05-02,2003-10-29,0,0,0
COSTER DANIEL J,APPLE COMPUTER INC,2005-10-18,22,nan,320193,277,320193,2005-07-20,2006-01-16,0,0,0
COSTER DANIEL J,APPLE INC,2007-12-20,35,nan,320193,278,320193,2007-09-21,2008-03-19,0,0,0
COSTER DANIEL J,APPLE INC,2014-12-09,21,nan,320193,279,320193,2014-09-10,2015-03-09,0,0,0
COSTER DANIEL J,APPLE INC,2015-01-21,39,nan,320193,280,320193,2014-10-23,2015-04-21,0,0,0
COTTELL JEROMY J,GILEAD SCIENCES INC,2013-10-09,23,nan,882095,281,882095,2013-07-11,2014-01-07,0,0,0
CRADDOCK DAVID F,INTERNATIONAL BUSINESS MACHINES CORPORATION,2015-10-02,25,nan,51143,282,51143,2015-07-04,2015-12-31,0,0,0
CRAWFORD EMMETT DUDLEY,EASTMAN CHEMICAL COMPANY,2006-03-24,43,nan,915389,283,915389,2005-12-24,2006-06-22,0,0,0
CRAY INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2020-07-30,36,nan,1645590,284,1645590,2020-05-01,2020-10-28,0,0,0
CREAMER THOMAS E,INTERNATIONAL BUSINESS MACHINES CORPORATION,2003-12-15,20,nan,51143,285,51143,2003-09-16,2004-03-14,0,0,0
CRONIN CHRISTOPHER J,VIASAT INC,2017-09-13,23,nan,797721,286,797721,2017-06-15,2017-12-12,0,0,0
CROSS TORY M,NIKE INC,2015-04-16,20,nan,320187,287,320187,2015-01-16,2015-07-15,0,0,0
CRUANES THIERRY,SNOWFLAKE COMPUTING INC,2014-10-20,43,nan,1640147,288,1640147,2014-07-22,2015-01-18,0,0,0
CRUANES THIERRY,SNOWFLAKE COMPUTING INC,2015-03-09,32,nan,1640147,289,1640147,2014-12-09,2015-06-07,0,0,0
CTRLLABS CORPORATION,FACEBOOK TECHNOLOGIES INC,2020-01-16,20,nan,1321834,290,1321834,2019-10-18,2020-04-15,0,0,0
CUI YAN YUN,JOHNSON ELECTRIC SA,2016-07-29,25,nan,200406,291,200406,2016-04-30,2016-10-27,0,0,0
CURIC KEMAL,FORD GLOBAL TECHNOLOGIES LLC,2018-04-10,31,nan,932021,292,932021,2018-01-10,2018-07-09,0,0,0
CURIC KEMAL,FORD GLOBAL TECHNOLOGIES LLC,2019-03-10,28,nan,932021,293,932021,2018-12-10,2019-06-08,0,0,0
CURIS INC,STRYKER CORPORATION,2007-12-26,30,1108205,nan,294,1108205,2007-09-27,2008-03-25,0,0,0
DAGEVILLE BENOIT,SNOWFLAKE COMPUTING INC,2014-10-20,44,nan,1640147,295,1640147,2014-07-22,2015-01-18,0,0,0
DAGEVILLE BENOIT,SNOWFLAKE COMPUTING INC,2015-03-09,32,nan,1640147,296,1640147,2014-12-09,2015-06-07,0,0,0
DAMIANO EDWARD R,BETA BIONICS INC,2020-10-02,27,nan,1674632,297,1674632,2020-07-04,2020-12-31,0,0,0
DAMORE MASSIMO F,PEPSICO INC,2012-02-28,20,nan,77476,298,77476,2011-11-30,2012-05-28,0,0,0
DASGUPTA SUKRIT,CISCO TECHNOLOGY INC,2013-06-20,21,nan,1779474,299,1779474,2013-03-22,2013-09-18,0,0,0
DAVIDSON BENJAMIN R,HONDA MOTOR CO LTD,2006-12-18,20,nan,715153,300,715153,2006-09-19,2007-03-18,0,0,0
DAYTON PAUL,TREACE MEDICAL CONCEPTS INC,2016-09-17,24,nan,1630627,301,1630627,2016-06-19,2016-12-16,0,0,0
DE IULIIS DANIELE,APPLE COMPUTER INC,2005-10-18,21,nan,320193,302,320193,2005-07-20,2006-01-16,0,0,0
DE IULIIS DANIELE,APPLE INC,2007-12-13,20,nan,320193,303,320193,2007-09-14,2008-03-12,0,0,0
DE IULIIS DANIELE,APPLE INC,2014-12-08,20,nan,320193,304,320193,2014-09-09,2015-03-08,0,0,0
DE IULIIS DANIELE,APPLE INC,2015-01-26,39,nan,320193,305,320193,2014-10-28,2015-04-26,0,0,0
DE PEYSTER DAMON G,FORD GLOBAL TECHNOLOGIES LLC,2017-03-10,21,nan,932021,306,932021,2016-12-10,2017-06-08,0,0,0
DE RUIJTER COR,TECHNOLOGIES HOLDINGS CORP,2012-04-12,42,nan,2186,307,2186,2012-01-13,2012-07-11,0,0,0
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2005-05-28,20,nan,110471,308,110471,2005-02-27,2005-08-26,0,0,0
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2006-08-07,43,nan,110471,309,110471,2006-05-09,2006-11-05,0,0,0
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2007-07-20,26,nan,110471,310,110471,2007-04-21,2007-10-18,0,0,0
DEAN MARTIN WF,WOLVERINE WORLD WIDE INC,2008-01-28,25,nan,110471,311,110471,2007-10-30,2008-04-27,0,0,0
DECADE INDUSTRIES INC DBA SANUS SYSTEMS,CSAV INC,2006-05-23,20,72162,nan,312,72162,2006-02-22,2006-08-21,0,0,0
DELPHI TECHNOLOGIES INC,APTIV TECHNOLOGIES LIMITED,2018-01-01,20,1321834,nan,313,1321834,2017-10-03,2018-04-01,0,0,0
DELPHI TECHNOLOGIES INC,AUTOLIV DEVELOPMENT AB,2010-07-02,21,1321834,nan,314,1321834,2010-04-03,2010-09-30,0,0,0
DELPHI TECHNOLOGIES INC,GOOGLE INC,2011-06-24,37,1321834,nan,315,1321834,2011-03-26,2011-09-22,0,0,0
DEMKIW JORDAN,FORD GLOBAL TECHNOLOGIES LLC,2018-09-26,29,nan,932021,316,932021,2018-06-28,2018-12-25,0,0,0
DEMUTH JAMES A,SEURAT TECHNOLOGIES INC,2016-10-26,24,nan,1321834,317,1321834,2016-07-28,2017-01-24,0,0,0
DEPEYSTER DAMON G,FORD GLOBAL TECHNOLOGIES LLC,2018-06-19,61,nan,932021,318,932021,2018-03-21,2018-09-17,0,0,0
DERGINS SCOTT,BROYHILL FURNITURE INDUSTRIES INC,2003-06-20,25,nan,72162,319,72162,2003-03-22,2003-09-18,0,0,0
DERGINS SCOTT,BROYHILL FURNITURE INDUSTRIES INC,2004-03-25,20,nan,72162,320,72162,2003-12-26,2004-06-23,0,0,0
DESHPANDE MILIND,ACHILLION PHARMACEUTICALS INC,2016-03-14,26,nan,1691082,321,1691082,2015-12-15,2016-06-12,0,0,0
DEWITT DAVID,FORD GLOBAL TECHNOLOGIES LLC,2018-01-11,34,nan,932021,322,932021,2017-10-13,2018-04-11,0,0,0
DIEBEL MARKUS,APPLE INC,2020-07-01,20,nan,320193,323,320193,2020-04-02,2020-09-29,0,0,0
DIEBOLD R BRUCE,FORMA THERAPEUTICS INC,2016-06-17,20,nan,1001316,324,1001316,2016-03-19,2016-09-15,0,0,0
DIGITAL CONTROL INC,MERLIN TECHNOLOGY INC,2003-05-01,96,nan,1779474,325,1779474,2003-01-31,2003-07-30,0,0,0
DIGITAL CONTROL INCORPORATED,MERLIN TECHNOLOGY INC,2003-05-01,41,nan,1779474,326,1779474,2003-01-31,2003-07-30,0,0,0
DIN SHAHID,BAXTER INTERNATIONAL INC,2005-01-31,22,nan,10456,327,10456,2004-11-02,2005-05-01,0,0,0
DOBIE KENNETH W,ISIS PHARMACEUTICALS INC,2002-12-04,26,nan,874015,328,874015,2002-09-05,2003-03-04,0,0,0
DODSON JOHN S,INTERNATIONAL BUSINESS MACHINES CORPORATION,1997-04-14,21,nan,51143,329,51143,1997-01-14,1997-07-13,0,0,0
DODSON JOHN S,INTERNATIONAL BUSINESS MACHINES CORPORATION,1999-11-08,20,nan,51143,330,51143,1999-08-10,2000-02-06,0,0,0
DOERING JEFFREY ALLEN,FORD GLOBAL TECHNOLOGIES LLC,2013-02-05,24,nan,932021,331,932021,2012-11-07,2013-05-06,0,0,0
DOLBY CANADA CORPORATION,DOLBY LABORATORIES LICENSING CORPORATION,2007-12-05,47,nan,1308547,332,1308547,2007-09-06,2008-03-04,0,0,0
DOLBY INTERNATIONAL AB,DOLBY LABORATORIES LICENSING CORPORATION,2017-08-23,25,nan,1308547,333,1308547,2017-05-25,2017-11-21,0,0,0
DOLBY LABORATORIES INC,DOLBY LABORATORIES LICENSING CORPORATION,2003-09-05,55,1308547,1308547,334,1308547,2003-06-07,2003-12-04,1,0,0
DOMACK RANDY D,ASHLEY FURNITURE INDUSTRIES INC,2006-03-10,27,nan,72162,335,72162,2005-12-10,2006-06-08,0,0,0
DOMKE MICHAEL CHRISTOPHER,GENERAL ELECTRIC COMPANY,2013-01-09,20,nan,40545,336,40545,2012-10-11,2013-04-09,0,0,0
DONG XUE,BOE TECHNOLOGY GROUP CO LTD,2015-05-11,23,nan,1852440,337,1852440,2015-02-10,2015-08-09,0,0,0
DORANDISHYAZDI OMEAD,FORD GLOBAL TECHNOLOGIES LLC,2019-10-09,25,nan,932021,338,932021,2019-07-11,2020-01-07,0,0,0
DORNER CHARLES SHEARER,AMAZON TECHNOLOGIES INC,2014-08-14,26,nan,1321834,339,1321834,2014-05-16,2014-11-12,0,0,0
DORSEY JACK,SQUARE INC,2011-12-21,20,nan,1794776,340,1794776,2011-09-22,2012-03-20,0,0,0
DOUGHTY FREDERIC C,BLACK DECKER INC,1995-09-19,22,nan,93556,341,93556,1995-06-21,1995-12-18,0,0,0
DOW GLOBAL TECHNOLOGIES INC,DOW GLOBAL TECHNOLOGIES LLC,2010-12-31,20,1751788,932021,342,1751788,2010-10-02,2011-03-31,0,0,0
DOW GLOBAL TECHNOLOGIES LLC,BLUE CUBE IP LLC,2015-09-30,21,932021,nan,343,932021,2015-07-02,2015-12-29,0,0,0
DOW GLOBAL TECHNOLOGIES LLC,THE DOW CHEMICAL COMPANY,2018-11-01,71,932021,nan,344,932021,2018-08-03,2019-01-30,0,0,0
DOW PHARMACEUTICAL SCIENCES INC,BAUSCH HEALTH IRELAND LIMITED,2018-12-03,38,1751788,nan,345,1751788,2018-09-04,2019-03-03,0,0,0
DPAC TECHNOLOGIES CORP FORMERLY KNOWN AS DENSEPAC MICROSYSTEMS INC,STAKTEK GROUP LP,2004-06-09,25,2186,nan,346,2186,2004-03-11,2004-09-07,0,0,0
DRAEGER RIAN,DEXCOM INC,2015-01-21,20,nan,1093557,347,1093557,2014-10-23,2015-04-21,0,0,0
DUA BHUPESH,NIKE INC,2004-07-21,21,nan,320187,348,320187,2004-04-22,2004-10-19,0,0,0
DUNN WILLIAM,MANUFACTURING RESOURCES INTERNATIONAL INC,2015-07-16,23,nan,105319,349,105319,2015-04-17,2015-10-14,0,0,0
DUNN WILLIAM,MANUFACTURING RESOURCES INTERNATIONAL INC,2016-08-31,35,nan,105319,350,105319,2016-06-02,2016-11-29,0,0,0
DURFLINGER NATE,NIKE INC,2020-08-12,20,nan,320187,351,320187,2020-05-14,2020-11-10,0,0,0
DYE ALAN C,APPLE INC,2015-01-30,33,nan,320193,352,320193,2014-11-01,2015-04-30,0,0,0
DYLLA SCOTT J,STEM CENTRX INC,2013-02-22,32,nan,1758766,353,1758766,2012-11-24,2013-05-23,0,0,0
EBAY INC,PAYPAL INC,2015-07-17,637,1065088,1633917,354,1065088,2015-04-18,2015-10-15,1,0,0
ECASH TECHNOLOGIES INC,INFOSPACE INC,2002-02-07,22,1321834,nan,355,1321834,2001-11-09,2002-05-08,0,0,0
ECOLAB INC,ECOLAB USA INC,2009-01-01,349,31462,31462,356,31462,2008-10-03,2009-04-01,0,0,0
ECOLAB USA INC,CHAMPIONX USA INC,2020-08-25,63,31462,nan,357,31462,2020-05-27,2020-11-23,0,0,0
EDWARDS JAMES P,LIGAND PHARMACEUTICALS INC,2000-09-22,36,nan,886163,358,886163,2000-06-24,2000-12-21,0,0,0
EDWARDS WEBB,GANART TECHNOLOGIES INC,2010-01-13,21,nan,1321834,359,1321834,2009-10-15,2010-04-13,0,0,0
EL SAYYID WALEED MUTASEM,BAXTER INTERNATIONAL INC,2005-02-04,26,nan,10456,360,10456,2004-11-06,2005-05-05,0,0,0
ELAN PHARMACEUTICALS INC,NEURALAB LIMITED,2000-04-20,33,1023024,nan,361,1023024,2000-01-21,2000-07-19,1,1,1
ELAN PHARMACEUTICALS INC,NEURALAB LIMITED,2000-10-02,21,1023024,nan,362,1023024,2000-07-04,2000-12-31,0,0,0
ELDEM CAN,NIKE INC,2019-06-27,20,nan,320187,363,320187,2019-03-29,2019-09-25,0,0,0
ELKHATIB FIRAS H,BETA BIONICS INC,2020-09-27,25,nan,1674632,364,1674632,2020-06-29,2020-12-26,0,0,0
ELLIPSE TECHNOLOGIES INC,NUVASIVE INC,2016-01-04,66,1321834,nan,365,1321834,2015-10-06,2016-04-03,0,0,0
EMERSON ELECTRIC CO,NIDEC MOTOR CORPORATION,2010-09-24,34,32604,nan,366,32604,2010-06-26,2010-12-23,0,0,0
EMMANUEL JOSEPH AMALAN ARUL,NETGEAR INC,2018-12-18,24,nan,1122904,367,1122904,2018-09-19,2019-03-18,0,0,0
EMPHASYS MEDICAL INC,PULMONX,2009-03-31,44,nan,1127537,368,1127537,2008-12-31,2009-06-29,0,0,0
ENDEAVORS TECHNOLOGIES INC,NUMECENT HOLDINGS INC,2012-10-22,22,1321834,nan,369,1321834,2012-07-24,2013-01-20,0,0,0
ENTEGRIS CAYMEN LTD,ENTEGRIS INC,2004-02-18,25,nan,1101302,370,1101302,2003-11-20,2004-05-18,0,0,0
ERICSSON ANNA,FORMA THERAPEUTICS INC,2016-06-17,20,nan,1001316,371,1001316,2016-03-19,2016-09-15,0,0,0
ERNESAKS ANITA,CANADIAN NATIONAL RAILWAY COMPANY,2002-07-17,21,nan,16868,372,16868,2002-04-18,2002-10-15,0,0,0
ERWIN RONALD D,ERWIN INDUSTRIES INC,2001-09-17,21,nan,72162,373,72162,2001-06-19,2001-12-16,0,0,0
ESSENTIAL INC,SIEMENS HEALTHCARE DIAGNOSTICS INC,2016-09-27,20,78128,nan,374,78128,2016-06-29,2016-12-26,0,0,0
ETEC SYSTEMS INC,APPLIED MATERIALS INC,2001-06-15,30,nan,6951,375,6951,2001-03-17,2001-09-13,0,0,0
EUBANK LANE A,NATERA INC,2015-04-20,32,nan,1604821,376,1604821,2015-01-20,2015-07-19,0,0,0
EVERETT CHARLES STUART,EASTMAN CHEMICAL COMPANY,2019-09-19,33,nan,915389,377,915389,2019-06-21,2019-12-18,0,0,0
EVERSON TERRY A,ASHLEY FURNITURE INDUSTRIES INC,2006-03-10,31,nan,72162,378,72162,2005-12-10,2006-06-08,0,0,0
